
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
562.188,,Spot,2,Image 1,2,55634,
669.74,,Spot,2,Image 1,2,55635,
595.428,,Spot,2,Image 1,2,55636,
658.829,,Spot,2,Image 1,2,55637,
656.786,,Spot,2,Image 1,2,55638,
583.175,,Spot,2,Image 1,2,55639,
640.386,,Spot,2,Image 1,2,55640,
536.195,,Spot,2,Image 1,2,55641,
644.823,,Spot,2,Image 1,2,55642,
656.03,,Spot,2,Image 1,2,55643,
665.636,,Spot,2,Image 1,2,55644,
603.091,,Spot,2,Image 1,2,55645,
570.277,,Spot,2,Image 1,2,55646,
487.167,,Spot,2,Image 1,2,55647,
624.741,,Spot,2,Image 1,2,55648,
541.565,,Spot,2,Image 1,2,55649,
627.326,,Spot,2,Image 1,2,55650,
569.107,,Spot,2,Image 1,2,55651,
595.43,,Spot,2,Image 1,2,55652,
606.472,,Spot,2,Image 1,2,55653,
621.061,,Spot,2,Image 1,2,55654,
563.066,,Spot,2,Image 1,2,55655,
530.938,,Spot,2,Image 1,2,55656,
491.211,,Spot,2,Image 1,2,55657,
671.574,,Spot,2,Image 1,2,55658,
675.776,,Spot,2,Image 1,2,55659,
709.796,,Spot,2,Image 1,2,55660,
590.514,,Spot,2,Image 1,2,55661,
579.587,,Spot,2,Image 1,2,55662,
559.902,,Spot,2,Image 1,2,55663,
592.327,,Spot,2,Image 1,2,55664,
632.527,,Spot,2,Image 1,2,55665,
585.828,,Spot,2,Image 1,2,55666,
488.944,,Spot,2,Image 1,2,55667,
534.479,,Spot,2,Image 1,2,55668,
676.795,,Spot,2,Image 1,2,55669,
570.168,,Spot,2,Image 1,2,55670,
486.708,,Spot,2,Image 1,2,55671,
553.658,,Spot,2,Image 1,2,55672,
590.177,,Spot,2,Image 1,2,55673,
629.379,,Spot,2,Image 1,2,55674,
650.142,,Spot,2,Image 1,2,55675,
743.781,,Spot,2,Image 1,2,55676,
752.812,,Spot,2,Image 1,2,55677,
606.858,,Spot,2,Image 1,2,55678,
523.423,,Spot,2,Image 1,2,55679,
666.325,,Spot,2,Image 1,2,55680,
