
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.817e+08,,Spot,4,Image 1,2,55643,
4.79914e+06,,Spot,4,Image 1,2,55644,
3.00669e+07,,Spot,4,Image 1,2,55645,
8.57239e+06,,Spot,4,Image 1,2,55646,
1.18182e+08,,Spot,4,Image 1,2,55647,
7.99585e+07,,Spot,4,Image 1,2,55648,
1.34629e+08,,Spot,4,Image 1,2,55649,
7.31387e+07,,Spot,4,Image 1,2,55650,
1.50929e+07,,Spot,4,Image 1,2,55651,
1.66763e+08,,Spot,4,Image 1,2,55652,
2.38743e+08,,Spot,4,Image 1,2,55653,
1.75536e+08,,Spot,4,Image 1,2,55654,
8.92076e+07,,Spot,4,Image 1,2,55655,
2.05554e+07,,Spot,4,Image 1,2,55656,
8.93484e+07,,Spot,4,Image 1,2,55657,
4.74511e+07,,Spot,4,Image 1,2,55658,
6.07362e+07,,Spot,4,Image 1,2,55659,
9.10126e+06,,Spot,4,Image 1,2,55660,
4.79539e+07,,Spot,4,Image 1,2,55661,
4.96415e+07,,Spot,4,Image 1,2,55662,
6.2069e+06,,Spot,4,Image 1,2,55663,
5.05025e+07,,Spot,4,Image 1,2,55664,
4.40522e+07,,Spot,4,Image 1,2,55665,
1.38129e+07,,Spot,4,Image 1,2,55666,
8.96577e+07,,Spot,4,Image 1,2,55667,
1.5434e+08,,Spot,4,Image 1,2,55668,
853448,,Spot,4,Image 1,2,55669,
2.71818e+08,,Spot,4,Image 1,2,55670,
9.92231e+07,,Spot,4,Image 1,2,55671,
3.16017e+08,,Spot,4,Image 1,2,55672,
1.89867e+08,,Spot,4,Image 1,2,55673,
9.71196e+07,,Spot,4,Image 1,2,55674,
1.49392e+07,,Spot,4,Image 1,2,55675,
5.8162e+07,,Spot,4,Image 1,2,55676,
1.68473e+08,,Spot,4,Image 1,2,55677,
2.33724e+08,,Spot,4,Image 1,2,55678,
5.75496e+08,,Spot,4,Image 1,2,55679,
8.27444e+08,,Spot,4,Image 1,2,55680,
1.99558e+08,,Spot,4,Image 1,2,55681,
1.35902e+08,,Spot,4,Image 1,2,55682,
5.07055e+08,,Spot,4,Image 1,2,55683,
2.27571e+07,,Spot,4,Image 1,2,55684,
1.19429e+08,,Spot,4,Image 1,2,55685,
9.98845e+07,,Spot,4,Image 1,2,55686,
4.88023e+08,,Spot,4,Image 1,2,55687,
1.75415e+08,,Spot,4,Image 1,2,55688,
1.75228e+08,,Spot,4,Image 1,2,55689,
1.83924e+08,,Spot,4,Image 1,2,55690,
1.04124e+08,,Spot,4,Image 1,2,55691,
7.22792e+07,,Spot,4,Image 1,2,55692,
7.52012e+07,,Spot,4,Image 1,2,55693,
4.03498e+08,,Spot,4,Image 1,2,55694,
1.00343e+08,,Spot,4,Image 1,2,55695,
3.05105e+07,,Spot,4,Image 1,2,55696,
4.15406e+08,,Spot,4,Image 1,2,55697,
3.71368e+08,,Spot,4,Image 1,2,55698,
8.00141e+07,,Spot,4,Image 1,2,55699,
