
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
41.4399,um,Spot,Image 1,2,55724,
33.628,um,Spot,Image 1,2,55725,
20.6218,um,Spot,Image 1,2,55726,
20.3866,um,Spot,Image 1,2,55727,
19.2911,um,Spot,Image 1,2,55728,
23.2787,um,Spot,Image 1,2,55729,
26.383,um,Spot,Image 1,2,55730,
26.1109,um,Spot,Image 1,2,55731,
42.2554,um,Spot,Image 1,2,55732,
43.0789,um,Spot,Image 1,2,55733,
24.9132,um,Spot,Image 1,2,55734,
39.8961,um,Spot,Image 1,2,55735,
31.8723,um,Spot,Image 1,2,55736,
36.1575,um,Spot,Image 1,2,55737,
30.875,um,Spot,Image 1,2,55738,
24.2586,um,Spot,Image 1,2,55739,
41.9511,um,Spot,Image 1,2,55740,
32.9843,um,Spot,Image 1,2,55741,
29.2512,um,Spot,Image 1,2,55742,
18.2602,um,Spot,Image 1,2,55743,
30.0762,um,Spot,Image 1,2,55744,
39.8253,um,Spot,Image 1,2,55745,
35.1929,um,Spot,Image 1,2,55746,
29.4401,um,Spot,Image 1,2,55747,
34.9447,um,Spot,Image 1,2,55748,
24.8533,um,Spot,Image 1,2,55749,
35.9467,um,Spot,Image 1,2,55750,
37.1109,um,Spot,Image 1,2,55751,
29.6852,um,Spot,Image 1,2,55752,
40.3986,um,Spot,Image 1,2,55753,
35.7167,um,Spot,Image 1,2,55754,
18.69,um,Spot,Image 1,2,55755,
34.074,um,Spot,Image 1,2,55756,
30.2267,um,Spot,Image 1,2,55757,
21.5001,um,Spot,Image 1,2,55758,
27.6759,um,Spot,Image 1,2,55759,
26.8715,um,Spot,Image 1,2,55760,
24.5539,um,Spot,Image 1,2,55761,
23.7287,um,Spot,Image 1,2,55762,
19.4478,um,Spot,Image 1,2,55763,
21.9308,um,Spot,Image 1,2,55764,
22.8743,um,Spot,Image 1,2,55765,
24.0456,um,Spot,Image 1,2,55766,
25.5453,um,Spot,Image 1,2,55767,
32.3855,um,Spot,Image 1,2,55768,
27.3305,um,Spot,Image 1,2,55769,
27.1656,um,Spot,Image 1,2,55770,
38.5911,um,Spot,Image 1,2,55771,
44.6524,um,Spot,Image 1,2,55772,
26.6938,um,Spot,Image 1,2,55773,
41.3986,um,Spot,Image 1,2,55774,
35.1037,um,Spot,Image 1,2,55775,
33.3759,um,Spot,Image 1,2,55776,
33.8942,um,Spot,Image 1,2,55777,
48.4796,um,Spot,Image 1,2,55778,
35.8342,um,Spot,Image 1,2,55779,
43.3951,um,Spot,Image 1,2,55780,
34.3461,um,Spot,Image 1,2,55781,
27.247,um,Spot,Image 1,2,55782,
27.5297,um,Spot,Image 1,2,55783,
43.7626,um,Spot,Image 1,2,55784,
25.7694,um,Spot,Image 1,2,55785,
22.9648,um,Spot,Image 1,2,55786,
46.0697,um,Spot,Image 1,2,55787,
37.8897,um,Spot,Image 1,2,55788,
28.4949,um,Spot,Image 1,2,55789,
24.472,um,Spot,Image 1,2,55790,
25.9023,um,Spot,Image 1,2,55791,
18.1049,um,Spot,Image 1,2,55792,
23.3263,um,Spot,Image 1,2,55793,
39.7711,um,Spot,Image 1,2,55794,
18.3942,um,Spot,Image 1,2,55795,
37.5196,um,Spot,Image 1,2,55796,
34.3362,um,Spot,Image 1,2,55797,
25.2087,um,Spot,Image 1,2,55798,
26.2741,um,Spot,Image 1,2,55799,
24.3342,um,Spot,Image 1,2,55800,
