
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2741,,Spot,Image 1,2,53411,
2751,,Spot,Image 1,2,53412,
2744,,Spot,Image 1,2,53413,
2746,,Spot,Image 1,2,53414,
2741,,Spot,Image 1,2,53415,
2744,,Spot,Image 1,2,53416,
2746,,Spot,Image 1,2,53417,
2743,,Spot,Image 1,2,53418,
2750,,Spot,Image 1,2,53419,
2740,,Spot,Image 1,2,53420,
2749,,Spot,Image 1,2,53421,
2738,,Spot,Image 1,2,53422,
2741,,Spot,Image 1,2,53423,
2736,,Spot,Image 1,2,53424,
2762,,Spot,Image 1,2,53425,
2745,,Spot,Image 1,2,53426,
2743,,Spot,Image 1,2,53427,
2751,,Spot,Image 1,2,53428,
2750,,Spot,Image 1,2,53429,
2747,,Spot,Image 1,2,53430,
2744,,Spot,Image 1,2,53431,
2734,,Spot,Image 1,2,53432,
2741,,Spot,Image 1,2,53433,
2754,,Spot,Image 1,2,53434,
2750,,Spot,Image 1,2,53435,
2745,,Spot,Image 1,2,53436,
2741,,Spot,Image 1,2,53437,
2743,,Spot,Image 1,2,53438,
2743,,Spot,Image 1,2,53439,
2734,,Spot,Image 1,2,53440,
2748,,Spot,Image 1,2,53441,
2754,,Spot,Image 1,2,53442,
2747,,Spot,Image 1,2,53443,
2739,,Spot,Image 1,2,53444,
2749,,Spot,Image 1,2,53445,
2742,,Spot,Image 1,2,53446,
2744,,Spot,Image 1,2,53447,
2747,,Spot,Image 1,2,53448,
2751,,Spot,Image 1,2,53449,
2741,,Spot,Image 1,2,53450,
2744,,Spot,Image 1,2,53451,
2751,,Spot,Image 1,2,53452,
2761,,Spot,Image 1,2,53453,
2745,,Spot,Image 1,2,53454,
2746,,Spot,Image 1,2,53455,
2741,,Spot,Image 1,2,53456,
2748,,Spot,Image 1,2,53457,
2750,,Spot,Image 1,2,53458,
2739,,Spot,Image 1,2,53459,
2740,,Spot,Image 1,2,53460,
2740,,Spot,Image 1,2,53461,
2750,,Spot,Image 1,2,53462,
2743,,Spot,Image 1,2,53463,
2738,,Spot,Image 1,2,53464,
2751,,Spot,Image 1,2,53465,
2746,,Spot,Image 1,2,53466,
2755,,Spot,Image 1,2,53467,
2747,,Spot,Image 1,2,53468,
2738,,Spot,Image 1,2,53469,
2769,,Spot,Image 1,2,53470,
2742,,Spot,Image 1,2,53471,
2737,,Spot,Image 1,2,53472,
2743,,Spot,Image 1,2,53473,
2748,,Spot,Image 1,2,53474,
2743,,Spot,Image 1,2,53475,
2747,,Spot,Image 1,2,53476,
2748,,Spot,Image 1,2,53477,
2761,,Spot,Image 1,2,53478,
2751,,Spot,Image 1,2,53479,
2754,,Spot,Image 1,2,53480,
2769,,Spot,Image 1,2,53481,
2745,,Spot,Image 1,2,53482,
2746,,Spot,Image 1,2,53483,
2762,,Spot,Image 1,2,53484,
2738,,Spot,Image 1,2,53485,
2754,,Spot,Image 1,2,53486,
2744,,Spot,Image 1,2,53487,
2751,,Spot,Image 1,2,53488,
2747,,Spot,Image 1,2,53489,
2742,,Spot,Image 1,2,53490,
2521,,Spot,Image 1,2,53491,
2740,,Spot,Image 1,2,53492,
2741,,Spot,Image 1,2,53493,
2740,,Spot,Image 1,2,53494,
2751,,Spot,Image 1,2,53495,
2738,,Spot,Image 1,2,53496,
2748,,Spot,Image 1,2,53497,
1580,,Spot,Image 1,3,53498,
2750,,Spot,Image 1,3,53499,
1564,,Spot,Image 1,3,53500,
1573,,Spot,Image 1,3,53501,
2750,,Spot,Image 1,3,53502,
2747,,Spot,Image 1,3,53503,
1576,,Spot,Image 1,3,53504,
1578,,Spot,Image 1,3,53505,
2754,,Spot,Image 1,3,53506,
2751,,Spot,Image 1,3,53507,
2594,,Spot,Image 1,3,53508,
2743,,Spot,Image 1,3,53509,
1572,,Spot,Image 1,3,53510,
1576,,Spot,Image 1,3,53511,
1573,,Spot,Image 1,3,53512,
1574,,Spot,Image 1,3,53513,
2758,,Spot,Image 1,3,53514,
2742,,Spot,Image 1,3,53515,
1578,,Spot,Image 1,3,53516,
1566,,Spot,Image 1,3,53517,
1574,,Spot,Image 1,3,53518,
1570,,Spot,Image 1,3,53519,
1571,,Spot,Image 1,3,53520,
2597,,Spot,Image 1,3,53521,
2744,,Spot,Image 1,3,53522,
2741,,Spot,Image 1,3,53523,
2755,,Spot,Image 1,3,53524,
2748,,Spot,Image 1,3,53525,
2748,,Spot,Image 1,3,53526,
2741,,Spot,Image 1,3,53527,
2738,,Spot,Image 1,3,53528,
2753,,Spot,Image 1,3,53529,
2738,,Spot,Image 1,3,53530,
1571,,Spot,Image 1,3,53531,
1579,,Spot,Image 1,3,53532,
1566,,Spot,Image 1,3,53533,
1576,,Spot,Image 1,3,53534,
1566,,Spot,Image 1,3,53535,
2125,,Spot,Image 1,3,53536,
2738,,Spot,Image 1,3,53537,
2740,,Spot,Image 1,3,53538,
2748,,Spot,Image 1,3,53539,
2749,,Spot,Image 1,3,53540,
2752,,Spot,Image 1,3,53541,
2739,,Spot,Image 1,3,53542,
2743,,Spot,Image 1,3,53543,
1568,,Spot,Image 1,3,53544,
1571,,Spot,Image 1,3,53545,
1566,,Spot,Image 1,3,53546,
1571,,Spot,Image 1,3,53547,
2751,,Spot,Image 1,3,53548,
2746,,Spot,Image 1,3,53549,
2754,,Spot,Image 1,3,53550,
2753,,Spot,Image 1,3,53551,
1566,,Spot,Image 1,3,53552,
1567,,Spot,Image 1,3,53553,
2751,,Spot,Image 1,3,53554,
1574,,Spot,Image 1,3,53555,
