
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
901.922,,Spot,2,Image 1,2,53376,
746.633,,Spot,2,Image 1,2,53377,
1945.26,,Spot,2,Image 1,2,53378,
666.894,,Spot,2,Image 1,2,53379,
951.701,,Spot,2,Image 1,2,53380,
604.217,,Spot,2,Image 1,2,53381,
653.452,,Spot,2,Image 1,2,53382,
833.508,,Spot,2,Image 1,2,53383,
940.844,,Spot,2,Image 1,2,53384,
1029.92,,Spot,2,Image 1,2,53385,
830.473,,Spot,2,Image 1,2,53386,
627.655,,Spot,2,Image 1,2,53387,
1026.83,,Spot,2,Image 1,2,53388,
691.175,,Spot,2,Image 1,2,53389,
956.707,,Spot,2,Image 1,2,53390,
1074.25,,Spot,2,Image 1,2,53391,
946.161,,Spot,2,Image 1,2,53392,
938.324,,Spot,2,Image 1,2,53393,
932.815,,Spot,2,Image 1,2,53394,
944.697,,Spot,2,Image 1,2,53395,
1380.79,,Spot,2,Image 1,2,53396,
1054.14,,Spot,2,Image 1,2,53397,
990.886,,Spot,2,Image 1,2,53398,
966.521,,Spot,2,Image 1,2,53399,
1994.72,,Spot,2,Image 1,2,53400,
1825.75,,Spot,2,Image 1,2,53401,
1575.79,,Spot,2,Image 1,2,53402,
974.012,,Spot,2,Image 1,2,53403,
1186.98,,Spot,2,Image 1,2,53404,
1046.28,,Spot,2,Image 1,2,53405,
882.528,,Spot,2,Image 1,2,53406,
1558.27,,Spot,2,Image 1,2,53407,
1103.33,,Spot,2,Image 1,2,53408,
1453.61,,Spot,2,Image 1,2,53409,
1074.69,,Spot,2,Image 1,2,53410,
1131.86,,Spot,2,Image 1,2,53411,
919.156,,Spot,2,Image 1,2,53412,
1129.01,,Spot,2,Image 1,2,53413,
1017.64,,Spot,2,Image 1,2,53414,
991.244,,Spot,2,Image 1,2,53415,
1330.01,,Spot,2,Image 1,2,53416,
979.727,,Spot,2,Image 1,2,53417,
1155.43,,Spot,2,Image 1,2,53418,
816.379,,Spot,2,Image 1,2,53419,
898.121,,Spot,2,Image 1,2,53420,
888.87,,Spot,2,Image 1,2,53421,
1125.3,,Spot,2,Image 1,2,53422,
1097.73,,Spot,2,Image 1,2,53423,
953.905,,Spot,2,Image 1,2,53424,
627.375,,Spot,2,Image 1,2,53425,
799.96,,Spot,2,Image 1,2,53426,
909.887,,Spot,2,Image 1,2,53427,
889.599,,Spot,2,Image 1,2,53428,
878.736,,Spot,2,Image 1,2,53429,
816.054,,Spot,2,Image 1,2,53430,
876.132,,Spot,2,Image 1,2,53431,
907.964,,Spot,2,Image 1,2,53432,
950.73,,Spot,2,Image 1,2,53433,
765.397,,Spot,2,Image 1,2,53434,
1282.46,,Spot,2,Image 1,2,53435,
864.321,,Spot,2,Image 1,2,53436,
900.887,,Spot,2,Image 1,2,53437,
802.641,,Spot,2,Image 1,2,53438,
963.029,,Spot,2,Image 1,2,53439,
992.716,,Spot,2,Image 1,2,53440,
978.699,,Spot,2,Image 1,2,53441,
1448.29,,Spot,2,Image 1,2,53442,
1009.96,,Spot,2,Image 1,2,53443,
918.643,,Spot,2,Image 1,2,53444,
860.645,,Spot,2,Image 1,2,53445,
1024.9,,Spot,2,Image 1,2,53446,
940.832,,Spot,2,Image 1,2,53447,
