
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
124.23,um,Spot,Distance from Origin,1,53212,
118.539,um,Spot,Distance from Origin,1,53213,
109.87,um,Spot,Distance from Origin,1,53214,
71.045,um,Spot,Distance from Origin,1,53215,
139.633,um,Spot,Distance from Origin,1,53216,
115.03,um,Spot,Distance from Origin,1,53217,
124.573,um,Spot,Distance from Origin,1,53218,
142.843,um,Spot,Distance from Origin,1,53219,
132.737,um,Spot,Distance from Origin,1,53220,
139.191,um,Spot,Distance from Origin,1,53221,
152.534,um,Spot,Distance from Origin,1,53222,
112.678,um,Spot,Distance from Origin,1,53225,
113.484,um,Spot,Distance from Origin,1,53226,
126.242,um,Spot,Distance from Origin,1,53227,
123.476,um,Spot,Distance from Origin,1,53228,
125.771,um,Spot,Distance from Origin,1,53229,
93.8384,um,Spot,Distance from Origin,1,53230,
101.55,um,Spot,Distance from Origin,1,53231,
78.1347,um,Spot,Distance from Origin,1,53232,
103.565,um,Spot,Distance from Origin,1,53233,
100.953,um,Spot,Distance from Origin,1,53234,
126.287,um,Spot,Distance from Origin,1,53235,
53.5469,um,Spot,Distance from Origin,2,53236,
47.6035,um,Spot,Distance from Origin,2,53237,
55.3067,um,Spot,Distance from Origin,2,53238,
75.5084,um,Spot,Distance from Origin,2,53239,
66.7797,um,Spot,Distance from Origin,2,53240,
77.9252,um,Spot,Distance from Origin,2,53241,
117.746,um,Spot,Distance from Origin,2,53242,
125.414,um,Spot,Distance from Origin,2,53243,
99.9247,um,Spot,Distance from Origin,2,53244,
61.4503,um,Spot,Distance from Origin,2,53245,
66.264,um,Spot,Distance from Origin,2,53246,
72.5061,um,Spot,Distance from Origin,2,53247,
74.8984,um,Spot,Distance from Origin,2,53248,
69.2606,um,Spot,Distance from Origin,2,53249,
65.5806,um,Spot,Distance from Origin,2,53250,
79.9289,um,Spot,Distance from Origin,2,53251,
76.2168,um,Spot,Distance from Origin,2,53252,
62.2476,um,Spot,Distance from Origin,2,53253,
67.4761,um,Spot,Distance from Origin,2,53254,
75.459,um,Spot,Distance from Origin,2,53255,
71.7366,um,Spot,Distance from Origin,2,53256,
87.0751,um,Spot,Distance from Origin,2,53257,
77.2459,um,Spot,Distance from Origin,2,53258,
84.3751,um,Spot,Distance from Origin,2,53259,
76.5594,um,Spot,Distance from Origin,2,53260,
81.0217,um,Spot,Distance from Origin,2,53261,
73.2586,um,Spot,Distance from Origin,2,53262,
64.3333,um,Spot,Distance from Origin,2,53263,
87.3977,um,Spot,Distance from Origin,2,53264,
95.7452,um,Spot,Distance from Origin,2,53265,
